PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Espinoza, N; Salas, ME; Ablan, L; Simancas, Y				Espinoza, Norelkys; Eugenia Salas, Maria; Ablan, Liliana; Simancas, Yanet			ORAL HEALTH STATUS IN CHILDREN OF PUBLIC AND PRIVATE SCHOOLS	ACTA BIOCLINICA				Article						Oral health; indices; plaque; calculus; school children; school type		The determine the oral health status of school children and their relationship to the type of school: public and private. A correlational descriptive study was carried out in a population of 287 children, aged between 6 and 12 years, 143 children of La Salle School (private) and 144 children of La Salle Hermano Luis (public). We studied the presence of detritus, dental calculus and periodontal signs with descriptive analysis and Chi square. In the private school 95.8% presented detritus, 25.8% presented calculus and 34.9% presented signs of periodontal disease. In the public school 97.2% presented detritus, 32.6% presented calculus and 46.6% presented signs of periodontal disease. Was observed presence of detritus in 2/3 and 3/3 of the tooth surface in a high percentage of the public school children, while in the majority of private school children was observed in only 1/3 of the surface. The students of the public institution had higher rates of detritus (p = 0.0000) and of periodontal disease (p = 0.045) compared to private school children. No differences were found in relation to dental calculus. Using this indicator in larger studies, could quickly visualize the oral health status of Venezuelan children, to act accordingly in reducing the prevailing conditions, which may require not only curative actions but must be complemented by educational programs aimed specifically at children of public schools and their families, according to results reported by this study.	[Espinoza, Norelkys] Univ Los Andes, Fac Odontol, Dept Invest, Merida, Venezuela; [Eugenia Salas, Maria; Ablan, Liliana; Simancas, Yanet] Univ Los Andes, Fac Odontol, Dept Odontol Preventiva & Social, Merida, Venezuela		Espinoza, N (corresponding author), Univ Los Andes, Fac Odontol, Dept Invest, Merida, Venezuela.	norelkys@ula.ve					Campus G, 2009, ORAL HLTH PREV DENT, V7, P323; Hoffmann Rosana Helena Schlittler, 2004, Cad. Saúde Pública, V20, P522, DOI 10.1590/S0102-311X2004000200020; Irigoyen ME, 1999, COMMUNITY DENT HLTH, V16, P245; Mahesh Kumar P, 2005, J Indian Soc Pedod Prev Dent, V23, P17; Freire MDM, 2010, REV PANAM SALUD PUBL, V28, P86; Organizacion Mundial de la Salud, 2006, CONS EJ EB120 10 120; Organizacion Mundial de la Salud. Encuestas de salud bucodental, 1999, ENC SAL BUC MET BAS; Petersen PE, 2005, B WORLD HEALTH ORGAN, V83, P661; Piovesan C, 2011, BMC MED RES METHODOL, V11, DOI 10.1186/1471-2288-11-37; Salguero A., 2007, TRABAJO TESIS OPTAR; Solarte IC, 2007, REV ESTOMATOLOGIA, V15, P6; World Medical Association, DECL HELS ETH PRINC; Yee R, 2009, COMMUNITY DENT HLTH, V26, P250, DOI 10.1922/CDH_2397Yee07; 2003, WORLD ORAL HLTH REPO	14	1	1			UNIV LOS ANDES, VENEZUELA	MERIDA	SCH DENTISTRY, DENTAL RES CTR, BLDG DEPUTY RECTOR, MERIDA, 00000, VENEZUELA						JUL-DEC	2012	2	4					28	43										WOS:000216009000005					2022-04-08	
J	Dent, SC; Hutchinson, DL; Hedman, KM; Fort, MA; Ambrose, SH				Dent, Sophia C.; Hutchinson, Dale L.; Hedman, Kristin M.; Fort, Matthew A.; Ambrose, Stanley H.			Purification of dental calculus organic and carbonate biofractions improves correlations with bone stable isotope ratios	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY				Meeting Abstract	87th Annual Meeting of the American-Association-of-Physical-Anthropologists (AAPA)	APR 11-14, 2018	Austin, TX						[Dent, Sophia C.; Hutchinson, Dale L.] Univ N Carolina, Anthropol, Chapel Hill, NC USA; [Hedman, Kristin M.; Fort, Matthew A.] Illinois State Archaeol Survey, Program Ancient Technol & Archaeol Mat, Champaign, IL USA; [Ambrose, Stanley H.] Univ Illinois, Anthropol, Urbana, IL USA									0	0	0			WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA						APR	2018	165			66			65	65										WOS:000430656800237					2022-04-08	
J	Solano, MC; Reinhard, KJ				Solano, MC; Reinhard, KJ			Dietary reconstruction of the Albany County Almshouse skeletal sample through the analysis of dental calculus.	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY				Meeting Abstract									SUNY Albany, Albany, NY 12222 USA; Univ Nebraska, Lincoln, NE 68583 USA									0	0	0			WILEY-LISS	HOBOKEN	DIV JOHN WILEY & SONS INC, 111 RIVER ST, HOBOKEN, NJ 07030 USA							2005				40			194	194										WOS:000227214900515					2022-04-08	
J	REMZI, D; ERKAN, I; OZEN, HA				REMZI, D; ERKAN, I; OZEN, HA			USE OF A PORTABLE DENTAL-X-RAY UNIT IN THE SURGICAL REMOVAL OF RENAL CALCULI	TURKISH JOURNAL OF PEDIATRICS				Article											REMZI, D (corresponding author), HACETTEPE UNIV,FAC MED,DEPT UROL,ANKARA,TURKEY.						BECK AD, 1973, J UROLOGY, V110, P494, DOI 10.1016/S0022-5347(17)60261-1; BOYCE WH, 1977, J UROLOGY, V118, P152, DOI 10.1016/S0022-5347(17)57934-3; CARR R J, 1954, Br J Urol, V26, P105, DOI 10.1111/j.1464-410X.1954.tb06073.x; EDELL S, 1978, AM J ROENTGENOL, V130, P261, DOI 10.2214/ajr.130.2.261; FELDMAN R A, 1977, Urology, V9, P695, DOI 10.1016/0090-4295(77)90328-4; GILVERNET JM, 1981, J UROLOGY, V125, P614, DOI 10.1016/S0022-5347(17)55136-8; KONNAK JW, 1980, J UROLOGY, V124, P768, DOI 10.1016/S0022-5347(17)55653-0; KOSHIBA K, 1980, J UROLOGY, V124, P586, DOI 10.1016/S0022-5347(17)55566-4; MARSHALL FF, 1983, UROL CLIN N AM, V10, P629; NEMOY NJ, 1971, J AMER MED ASSOC, V215, P1470, DOI 10.1001/jama.215.9.1470; ROTH RA, 1976, SURG CLIN N AM, V56, P753; SCHLEGEL JU, 1961, J UROLOGY, V86, P367, DOI 10.1016/S0022-5347(17)65180-2; SIGEL B, 1982, J UROLOGY, V127, P421, DOI 10.1016/S0022-5347(17)53842-2; SINGH M, 1975, BRIT J UROL, V47, P125, DOI 10.1111/j.1464-410X.1975.tb03931.x; ZAHM MJ, 1981, J UROLOGY, V125, P284, DOI 10.1016/S0022-5347(17)55010-7	15	0	0			TURKISH J PEDIATRICS	SAMANPAZARI	PK 66 ANKARA, 06240 SAMANPAZARI, TURKEY							1984	26	1-4					63	65										WOS:A1984AKE9100010					2022-04-08	
J	Oliver, R				Oliver, R			Salivary calculi	BRITISH DENTAL JOURNAL				Letter																	Sharp JF, 2003, BRIT DENT J, V195, P551, DOI 10.1038/sj.bdj.4810750	1	0	0			NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND						APR 24	2004	196	8					441	441		10.1038/sj.bdj.4811205								WOS:000220990800003		Bronze			2022-04-08	
J	Iturre, S; Paez, R; Santana, M; Delgado, AM				Iturre, S; Paez, R; Santana, M; Delgado, AM			Smokers calculus presence determination	JOURNAL OF DENTAL RESEARCH				Meeting Abstract									Univ Nacl Tucuman, Sch Dent, RA-4000 San Miguel De Tucuman, Tucuman, Argentina									0	0	0			AMER ASSOC DENTAL RESEARCH	ALEXANDRIA	1619 DUKE ST, ALEXANDRIA, VA 22314 USA						MAY	1999	78	5					937	937										WOS:000080316600134					2022-04-08	
J	Gupta, M; Gupta, HL; Deen, S; Sadasukhi, TC				Gupta, Manish; Gupta, H. L.; Deen, Shameer; Sadasukhi, T. C.			A RETROSPECTIVE STUDY OF SUPRACOSTAL PUNCTURE IN PCNL FOR THE MANAGEMENT OF RENAL CALCULUS: FIVE YEAR EXPERIENCE	JOURNAL OF EVOLUTION OF MEDICAL AND DENTAL SCIENCES-JEMDS				Article						Supracostal; s-PCNL; Complications	PERCUTANEOUS NEPHROLITHOTOMY; ACCESS; NEPHROSTOMY	Percutaneous nephrolithotomy has become the cornerstone and one of several procedures developed over the past three decades, marking a positive trend of minimally invasive procedures in modern urology practices. The planning, patient selection and an effective perioperative protocol are crucial for the outcome of PCNL. Although standardized techniques established for the management of renal and upper ureteric calculus is widely used and accepted, we present a study of 500 cases of PCNL by supracostal puncture and its consequences and study the efficacy and safety of a supracostal approach. Objective: To evaluate a supracostal approach for percutaneous nephrolithotomy (s-PCNL) of renal calculus disease, through a retrospective approach and review the efficacy and safety of procedure in comparison to previous studies. Patients and Duration: The retrospective study was conducted by the Dept. of Urology, Mahatma Gandhi Medical College and Hospital, Jaipur. We reviewed the medical records of 500 patients who underwent PCNL by a supracostal access for renal calculus disease from March 2010 to March 2015. METHOD: Patients with stones of various sizes and characteristics in the kidney and upper ureter were included in the study. Patients were studied for safety of the supracostal approach and its associated complications, including operative time and success rate. Mean age of inclusion was 18 to 65 years. RESULTS: There were 500 patients with renal calculus disease. Among them 346(69.2%) were males and 154 (30.8%) females. Calculus were noted in the upper calyx in 157(31.4%), 55(11%) in the middle calyx, 121(24.2%) in the renal pelvis, 47(9.4%) staghorn and partial staghorn calculus, 8(1.6%) in the lower calyx and 112(22.4%) in the upper ureter. Mean age of the patients was 40 years. Estimated time of each procedure was 60-90mins in 162 patients, 90-140mins in 286 patients and more than 140 minutes in 52 patients. Hemothorax developed in 1 patient and was managed by chest drain insertion. CONCLUSION: The present study being retrospective has revealed that supra costal access for management of renal calculus disease is a positive step towards the on-going development and refinement of an already standardized procedure. It avoids solid organ injury at the risk of injury to the pleura and lungs, which are relatively low and can be managed if the procedure is performed under careful guidance; it has reasonably well stone free rates.	[Gupta, Manish; Gupta, H. L.; Deen, Shameer; Sadasukhi, T. C.] Mahatma Gandhi Med Coll & Hosp, Dept Urol, Jaipur, Rajasthan, India		Gupta, M (corresponding author), Mahatma Gandhi Hosp, Dept Urol, RIICO, Jaipur, Rajasthan, India.	shameerdeen@gmail.com					FERNSTROM I, 1976, SCAND J UROL NEPHROL, V10, P257, DOI 10.1080/21681805.1976.11882084; Golijanin D, 1998, J ENDOUROL, V12, P403, DOI 10.1089/end.1998.12.403; GOODWIN WE, 1955, JAMA-J AM MED ASSOC, V157, P891, DOI 10.1001/jama.1955.02950280015005; Gupta R, 2002, BJU INT, V90, P809, DOI 10.1046/j.1464-410X.2002.03051.x; HOPPER KD, 1987, RADIOLOGY, V162, P443, DOI 10.1148/radiology.162.2.3797658; Hossain M, 2011, Bangladesh Med Res Counc Bull, V37, P34; Kekre NS, 2001, J ENDOUROL, V15, P789, DOI 10.1089/089277901753205753; Maheshwari P.N., 2000, BJU INT; Marcovich R, 2005, BJU INT, V95, P78, DOI 10.1111/j.1464-410X.2005.05205.x; Munver R, 2001, J UROLOGY, V166, P1242, DOI 10.1016/S0022-5347(05)65745-X; Park S, 2006, UROL CLIN N AM, V33, P353, DOI 10.1016/j.ucl.2006.03.003; Ramakumar S, 2000, UROL CLIN N AM, V27, P617, DOI 10.1016/S0094-0143(05)70111-7; SAMPAIO FJB, 1992, J UROLOGY, V148, P1769, DOI 10.1016/S0022-5347(17)37024-6; Sampaio FJB, 2000, UROL CLIN N AM, V27, P585, DOI 10.1016/S0094-0143(05)70109-9; Stening SG, 1998, J ENDOUROL, V12, P359, DOI 10.1089/end.1998.12.359	15	0	0			JOURNAL EVOLUTION MEDICAL & DENTAL SCIENCES	KARNATAKA	C/O AKSHANTALA ENTERPRISES, NO 65, 1ST FL, SAHUKAR CHENNIAH RD, MYSORE, KARNATAKA, 570 009, INDIA						OCT 12	2015	4	82					14401	14408		10.14260/jemds/2015/2048								WOS:000377824100021		gold			2022-04-08	
J	Verstraete, FJM; vanAarde, RJ; Nieuwoudt, BA; Mauer, E; Kass, PH				Verstraete, FJM; vanAarde, RJ; Nieuwoudt, BA; Mauer, E; Kass, PH			The dental pathology of feral cats on Marion island .2. Periodontitis, external odontoclastic resorption lesions and mandibular thickening	JOURNAL OF COMPARATIVE PATHOLOGY				Article							FELIS-CATUS; DISEASE	Skulls (n=301) of adult feral cats from Marion Island were examined macroscopically. Dental calculus was found infrequently (9.0% of cats, 0.76% of teeth), unlike the hard tissue lesions of moderate and advanced periodontitis and tooth loss (presumably due to periodontitis), which were commonly seen (61.8% of cats, 14.8% of teeth). Relatively few of these abnormalities were associated with external odontoclastic resorption lesions, which affected 14.3% of cats and 1.2% of teeth-less than in most recent surveys in domestic cats. Abnormal thickening of the mandibula, found in 39.5% of specimens, was most commonly bilateral (83.3%). The lesions ranged from a focal periosteal reaction, to localized exostosis, to generalized swelling and loss of density, to grossly enlarged mandibles with increased bone density. Mandibular swelling was significantly associated with other abnormalities (periodontitis, dental fractures, external odontoclastic resorption lesions and periapical lesions), but many cases of mandibular swelling were accompanied by only minor dental defects. (C) 1996 W.B. Saunders Company Limited	UNIV CALIF DAVIS,SCH VET MED,SECT BIOMETR & PREVENT MED,DEPT POPULAT HLTH & REPROD,DAVIS,CA 95616; UNIV PRETORIA,MAMMAL RES INST,FAC BIOL & AGR SCI,ZA-0002 PRETORIA,SOUTH AFRICA; UNIV PRETORIA,DEPT INFORMAT TECHNOL,ZA-0002 PRETORIA,SOUTH AFRICA		Verstraete, FJM (corresponding author), UNIV CALIF DAVIS,SCH VET MED,DEPT SURG & RADIOL SCI,DAVIS,CA 95616, USA.						ALEXANDER JW, 1983, VET CLIN N AM-SMALL, V13, P55, DOI 10.1016/S0195-5616(83)50004-1; BROTHWELL DR, 1981, DIGGING UP BONES EXC, P154; BURKHART JM, 1968, J LAB CLIN MED, V72, P943; CAVANAGH PG, 1993, DIS MECH SMALL ANIMA, P865; CHAVASSIEUX P, 1990, Journal of Bone and Mineral Research, V5, pS95; CRESPI PV, 1993, ORAL PATHOLOGY CLIN, P458; CROSSLEY DA, 1994, EUROPEAN VET DENTAL, V2; FROST P, 1986, VET CLIN N AM-SMALL, V16, P851, DOI 10.1016/S0195-5616(86)50305-3; HARVEY CE, 1985, VET DENT, P256; HARVEY CE, 1993, SMALL ANIMAL DENT, P223; HOLMSTROM SE, 1992, VET DENT TECHNIQUES, P107; KAPATKIN AS, 1991, J AM ANIM HOSP ASSOC, V27, P575; Libke K G, 1974, Mod Vet Pract, V55, P201; Logan E I, 1994, J Vet Dent, V11, P58; LUPS P, 1977, ZOOLOGISCHE ABHANDLU, V34, P155; LYON KF, 1992, VET CLIN N AM-SMALL, V22, P1417, DOI 10.1016/S0195-5616(92)50135-8; OKUDA A, 1992, VET CLIN N AM-SMALL, V22, P1385, DOI 10.1016/S0195-5616(92)50133-4; PEDERSEN NC, 1992, VET CLIN N AM-SMALL, V22, P1323, DOI 10.1016/S0195-5616(92)50130-9; PETERSON ME, 1990, J VET INTERN MED, V4, P192, DOI 10.1111/j.1939-1676.1990.tb00897.x; POOL RR, 1990, TUMORS DOMESTIC ANIM, P157; REICHART PA, 1984, J PERIODONTAL RES, V19, P67, DOI 10.1111/j.1600-0765.1984.tb01197.x; Richards A, 1990, J Dent Res, V69 Spec No, P701; SCHLUP D, 1982, KLEINTIERPRAXIS, V27, P179; SCHLUP D, 1982, KLEINTIERPRAXIS, V27, P87; Seawright A A, 1970, Adv Vet Sci Comp Med, V14, P1; Selvin S., 1991, STAT ANAL EPIDEMIOLO; STEBBINS KE, 1989, VET PATHOL, V26, P121, DOI 10.1177/030098588902600204; VANAARDE RJ, 1983, S AFR J WILDL RES, V13, P12; VANAARDE RJ, 1980, J HERED, V71, P366, DOI 10.1093/oxfordjournals.jhered.a109391; VANAARDE RJ, 1980, S AFR J WILDL RES, V10, P123; VANAARDE RJ, 1984, ACTA ZOOL FENN, V172, P107; VANWESSUM R, 1992, VET CLIN N AM-SMALL, V22, P1405, DOI 10.1016/S0195-5616(92)50134-6; Verstraete FJM, 1996, J COMP PATHOL, V115, P265, DOI 10.1016/S0021-9975(96)80084-3; WHITFORD GM, 1991, J DENT RES, V70, P948, DOI 10.1177/00220345910700060701	34	51	52			ACADEMIC PRESS LTD	LONDON	24-28 OVAL RD, LONDON, ENGLAND NW1 7DX						OCT	1996	115	3					283	297		10.1016/S0021-9975(96)80085-5								WOS:A1996VL85200007					2022-04-08	
J	Nayak, PA; Nayak, UA; Mythili, R				Nayak, Prathibha A.; Nayak, Ullal A.; Mythili, R.			Effect of Manuka honey, chlorhexidine gluconate and xylitol on the clinical levels of dental plaque	CONTEMPORARY CLINICAL DENTISTRY				Article						Chlorhexidine; Manuka honey; plaque Score; xylitol		Aims: To compare the effect of Manuka honey, chlorhexidine gluconate (0.2%) mouthwash and xylitol chewing gum on the dental plaque levels. Materials and Methods: Sixty healthy male dental students aged between 21 and 25 years (mean age 23.4 years) participated in the study. All the subjects received a professional prophylaxis at the start of the study, with the purpose of making the dentition 100% free of plaque and calculus. The subjects were then randomly divided into three groups, i.e. the Manuka honey group, the chlorhexidine gluconate mouthwash group and the xylitol chewing gum group. Rinsing with water or any other fluid after the procedure was not allowed as also any form of mechanical oral hygiene for all the subjects during the experimental period of 72 h. After the experimental period, the plaque was disclosed using disclosing solution and their scores were recorded at six sites per tooth using the Quigley and Hein plaque index modified by Turesky-Gilmore-Glickman. Results: The mean plaque scores for Groups I, II and III were 1.37, 1.35 and 1.57, respectively. The ANOVA revealed that between-group comparison was significant, with an F-value of 5.99 and a probability value of 0.004. The T-test was carried out to evaluate the inter-group significance, which revealed that the plaque inhibition by Manuka honey was similar to that of chlorhexidine mouthwash. Both Manuka honey and chlorhexidine mouthwash reduced plaque formation significantly, better than the xylitol chewing gum. Conclusion: Manuka honey and chlorhexidine mouthwash reduced plaque formation significantly better than xylitol chewing gum.	[Nayak, Prathibha A.] Modern Dent Coll & Res Ctr, Dept Periodont, Indore, Madhya Pradesh, India; [Nayak, Ullal A.] Modern Dent Coll & Res Ctr, Dept Pedodont & Prevent Dent, Indore, Madhya Pradesh, India; [Mythili, R.] Rajah Muthiah Dent Coll & Hosp, Dept Periodont, Annamalainagar, Tamil Nadu, India		Nayak, PA (corresponding author), Modern Dent Coll & Res Ctr, B-203,Staff Quarters,Airport Rd, Indore 453112, Madhya Pradesh, India.	drprathibha_an@yahoo.co.in					BELTRAMI M, 1987, J CLIN PERIODONTOL, V14, P161, DOI 10.1111/j.1600-051X.1987.tb00960.x; BIRKHED D, 1990, CARIES RES, V24, P220, DOI 10.1159/000261269; BRAL M, 1988, DENT CLIN N AM, V32, P217; Burt BA, 2006, J AM DENT ASSOC, V137, P190, DOI 10.14219/jada.archive.2006.0144; Decker EM, 2008, QUINTESSENCE INT, V39, P17; English Helen K P, 2004, J Int Acad Periodontol, V6, P63; JENKINS S, 1988, J CLIN PERIODONTOL, V15, P415, DOI 10.1111/j.1600-051X.1988.tb01595.x; Koparal E, 2000, TURK J MED SCI, V30, P119; Kovari H, 2003, ACTA ODONTOL SCAND, V61, P367, DOI 10.1080/00016350310007806; LANG NP, 1986, J PERIODONTAL RES, V21, P74, DOI 10.1111/j.1600-0765.1986.tb01517.x; LOE H, 1970, Journal of Periodontal Research, V5, P79, DOI 10.1111/j.1600-0765.1970.tb00696.x; Lynch Heather, 2003, J Calif Dent Assoc, V31, P205; Makinen KK, 1995, J DENT RES, V74, P1904, DOI 10.1177/00220345950740121501; ROLLA G, 1971, ARCH ORAL BIOL, V16, P1109, DOI 10.1016/0003-9969(71)90215-9; Sackelt WG, 1919, B COLORADO STATE U A, V252, P1; SCHEININ A, 1976, ACTA ODONTOL SCAND, V34, P179, DOI 10.3109/00016357608997711	16	19	20			MEDKNOW PUBLICATIONS & MEDIA PVT LTD	MUMBAI	B-9, KANARA BUSINESS CENTRE, OFF LINK RD, GHAKTOPAR-E, MUMBAI, 400075, INDIA						OCT-DEC	2010	1	4					214	217		10.4103/0976-237X.76386								WOS:000218657600004					2022-04-08	
J	DAWES, C; JENKINS, GN				DAWES, C; JENKINS, GN			SOME INORGANIC CONSTITUENTS OF DENTAL PLAQUE AND THEIR RELATIONSHIP TO EARLY CALCULUS FORMATION AND CARIES	ARCHIVES OF ORAL BIOLOGY				Article																	ALLEN W, 1957, CALCIUM CONTENT PLAQ; BECKS H., 1941, Journal of Dental Research, V20, P627, DOI 10.1177/00220345410200061101; BILLS CE, 1949, ANAL CHEM, V21, P1076, DOI 10.1021/ac60033a018; COOLIDGE TB, 1947, J DENT RES, V26, P43, DOI 10.1177/00220345470260010601; Davies CW, 1938, J CHEM SOC, P277, DOI 10.1039/jr9380000277; ERICSSON Y, 1949, ACTA ODONT SCAND  S3, V8; HARGREAVES G. L., 1956, JOUR DENTAL RES, V35, P591, DOI 10.1177/00220345560350041301; HARUKI RT, 1957, BINDING CALCIUM ION; Hills J.E., 1958, AUSTR DENT J, V3, P6; HILLS JE, 1958, AUST DENT J, V3, P101; HUH C., 1959, JOUR DENTAL RES, V38, P569, DOI 10.1177/00220345590380032001; JENKINS G N, 1961, Br Dent J, V111, P311; JENKINS GN, 1960, PHYSIOLOGY MOUTH, P220; KLEINBERG I, 1958, BRIT DENT J, V104, P197; Kramer B, 1921, J BIOL CHEM, V47, P475; Kuttner T, 1927, J BIOL CHEM, V75, P517; LEACH SA, 1959, ARCH ORAL BIOL, V1, P218; LIGHTFOOT L, 1961, J DENT RES, V40, P311, DOI 10.1177/00220345610400021401; LIGHTFOOT L, 1961, J DENT RES, V40, P280; LILIENTHAL B., 1956, JOUR DENTAL RES, V35, P197, DOI 10.1177/00220345560350020601; LURA HE, 1961, NY ST DENT J, V27, P75; MANDEL ID, 1957, J PERIODONTOL, V28, P132; Miller S. C., 1950, TXB PERIODONTIA; MILLIN DJ, 1961, NATURE, V189, P664, DOI 10.1038/189664a0; MOORE B. W., 1956, JOUR DENTAL RES, V35, P778, DOI 10.1177/00220345560350051801; MOORE BW, 1957, METHOD CALCIUM DETER; SCHATZ A, 1957, ANN DENT, V16, P37; SHANNON IRA L., 1958, JOUR DENTAL RES, V37, P391, DOI 10.1177/00220345580370030401; STEEL J, 1955, THESIS U DURHAM; STEPHAN R. M., 1940, JOUR AMER DENTAL ASSOC, V27, P718; STRALFORS A, 1948, J DENT RES, V27, P587, DOI 10.1177/00220345480270050601; TURNER EP, 1958, DENT PRACTNR DENT RE, V8, P373; TURNER EP, 1958, DENT PRACTNR DENT RE, V8, P341; VALLOTTON CF, 1945, J DENT RES, V24, P161, DOI 10.1177/00220345450240030701	34	100	101			PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND							1962	7	MAR-A					161	172		10.1016/0003-9969(62)90004-3								WOS:A1962XL10400004					2022-04-08	
